accelerometer_x,accelerometer_y,accelerometer_z,gyroscope_x,gyroscope_y,gyroscope_z,label
0.207,-0.738,23.85,60.49647,243.57726,178.62962,fall
1.206,0.336,14.34705,42.78634,243.9948,129.6274,fall
-3.34695,4.11405,9.91995,-42.88876,159.09175,105.33901,fall
-2.868,2.06505,12.585,-77.67875,210.81981,134.52762,fall
1.5,0.53205,14.649,26.75426,202.62653,179.74831,fall
0.93,3.40095,12.645,-33.65554,196.26097,112.47662,fall
-4.30005,1.74195,16.43895,-71.38409,152.78923,176.45525,fall
-0.546,4.02105,8.92605,-3.13551,-1.20536,-2.31618,non-fall
-0.519,3.86505,8.84505,-2.78099,-0.5042,0.26786,non-fall
-0.52395,3.91605,8.79195,-0.47269,-1.41807,0.76418,non-fall
-0.522,3.88905,8.907,1.63078,4.95537,-0.29149,non-fall
-0.60105,3.94695,9.09105,-2.57616,-0.22847,0.06303,non-fall
-0.50805,3.92505,9.10095,-2.00893,-2.32406,-0.56723,non-fall
-0.59595,3.999,8.43105,2.88341,1.8041,0.19695,non-fall
-0.44505,3.97995,9.051,-3.55305,0.6145,1.25263,non-fall
-0.36105,3.94395,9.24,4.56934,3.90757,1.74108,non-fall
-0.45495,4.026,9.17805,0.78782,-0.5042,1.67017,non-fall
-0.55305,3.97305,9.07005,-0.6145,0.82721,1.59927,non-fall
-0.63,3.99705,8.96205,-1.94591,3.34822,7.05884,non-fall
-0.59595,3.987,9.14595,-1.03204,3.34822,6.85401,non-fall
-0.58695,4.038,9.04305,0.29937,3.62396,7.05884,non-fall
-0.67995,3.96105,8.86905,-1.38656,2.9228,6.29466,non-fall
-0.65805,3.91305,8.80905,0.29937,2.22164,4.4748,non-fall
-0.68205,3.93495,9.09405,-0.7563,3.27732,5.45169,non-fall
-0.18195,4.14495,8.77095,-1.59139,3.34822,3.34822,non-fall
0.11205,3.70305,9.09105,-2.07984,-3.44276,-10.58038,non-fall
0.279,3.98505,8.63205,-4.81356,8.59508,-4.00211,non-fall
-1.93695,4.15695,8.313,-11.1161,-3.72637,-26.81729,non-fall
-2.571,3.288,10.81995,-5.64865,-23.603,-28.49534,non-fall
-0.38505,2.007,11.41905,3.86818,-31.72539,-11.76999,non-fall
0.73395,2.11995,7.94895,-12.93596,16.36296,0.76418,non-fall
-0.903,3.762,8.17695,-2.50526,8.17754,-15.89815,non-fall
1.92405,3.32895,7.34805,6.94855,-3.09612,16.51264,non-fall
-2.10195,4.107,9.17295,-6.42071,-15.69331,-34.65607,non-fall
0.693,3.477,9.15105,1.41807,22.59459,31.41814,non-fall
0.15195,2.505,9.97995,4.42753,46.25273,37.86248,non-fall
-0.83595,1.99995,10.401,1.90652,14.82672,53.95758,non-fall
-0.74895,2.35005,9.168,3.79728,17.55256,12.17177,non-fall
-0.53595,2.76195,8.77305,-4.88447,18.60824,18.47431,non-fall
0.456,2.88405,9.50295,10.09981,26.1634,26.45489,non-fall
0.033,3.43695,8.469,-3.26944,52.62617,-11.90391,non-fall
-1.089,3.75795,8.004,1.83561,14.26737,-45.37038,non-fall
-3.45495,3.279,7.69095,-6.07407,-10.37555,-41.23434,non-fall
-1.75695,2.46705,8.39205,-7.05096,-11.84089,-46.48908,non-fall
-2.38005,0.48195,10.45395,-58.50329,26.93546,1.52837,non-fall
0.93495,0.279,7.14195,-18.39553,-0.08666,37.79158,non-fall
-0.67305,-0.40695,9.56805,-6.77523,14.68491,18.47431,non-fall
-0.84495,-0.036,13.48695,25.43073,-18.41916,45.21282,non-fall
-0.82095,0.52095,12.726,12.19541,-12.0536,37.09042,non-fall
0.32505,4.66995,5.48805,-7.05096,55.28899,-35.77477,non-fall
0.11205,5.12505,5.952,21.3656,-18.97851,-22.76003,non-fall
0.42,5.06505,6.46995,41.03738,-64.2701,-3.23005,non-fall
0.84405,5.244,5.397,-16.63869,-8.13027,-64.89249,non-fall
3.246,5.62995,6.97005,-10.13133,-60.84311,-44.03897,non-fall
0.55005,2.235,11.71095,70.36781,6.77523,-29.05469,non-fall
1.93605,6.387,7.91295,-5.0893,6.7122,-2.87553,non-fall
2.81505,6.075,7.22595,-6.84613,27.84933,-19.11244,non-fall
2.14395,6.09,4.53495,-28.68441,-17.30046,-8.2642,non-fall
3.73695,4.512,8.29395,-44.01534,-23.11455,36.88559,non-fall
4.36095,2.958,5.33505,-35.53843,-34.23853,55.4308,non-fall
11.14905,0.11295,4.60005,-48.41923,-48.16713,91.20557,non-fall
11.47305,0.549,4.98495,21.85404,-15.06306,52.27953,non-fall
7.65105,-1.76295,2.42595,28.57412,23.57936,-6.31041,non-fall
8.226,-2.44305,3.537,2.26103,25.88766,-24.36718,non-fall
-0.486,6.00795,7.27395,18.14342,73.48757,25.96645,non-fall
0.59805,7.32705,6.561,-10.97429,22.10614,12.45539,non-fall
0.816,7.36605,7.25295,-26.2343,-9.31987,-10.43857,non-fall
-0.474,7.203,7.12305,12.40812,-2.38709,-25.06834,non-fall
-0.19395,6.657,5.92395,-0.6854,-27.1009,-28.28263,non-fall
-0.79695,7.323,7.425,-4.60085,1.52837,-15.96905,non-fall
-1.09695,5.4,10.43505,33.54525,47.24538,3.83667,non-fall
-0.54795,6.70695,6.975,37.6025,58.44026,29.03893,non-fall
0.126,6.12105,10.305,-50.66451,-2.80463,-7.64182,non-fall
-0.49995,7.974,5.71995,45.7958,60.89037,24.83987,non-fall
-0.47595,8.72805,4.344,48.45862,33.10407,21.6886,non-fall
-0.46005,6.22395,7.458,40.82468,67.54743,29.03893,non-fall
-0.27,8.29005,3.49095,59.23596,46.47332,8.17754,non-fall
1.14405,9.22395,-0.16395,34.87666,55.71442,17.34773,non-fall
1.74,9.885,-2.51505,3.02522,29.67707,-3.01734,non-fall
